group	Sample	Type	HM	Subject	chao	shannon
Sub.1_F1	F1	F	M	Sub.1	77.909091	2.439574
Sub.1_F2	F2	F	M	Sub.1	80.272727	2.326423
Sub.1_F3	F3	F	M	Sub.1	98.333333	2.25683
Sub.1_S2	S2	S2	H	Sub.1	137.214286	3.256879
Sub.1_S1	S1	S1	H	Sub.1	142.25	3.340317
Sub.2_F1	F1	F	M	Sub.2	137.882353	3.208008
Sub.2_F2	F2	F	M	Sub.2	162.866667	3.233239
Sub.2_F3	F3	F	M	Sub.2	144	3.064453
Sub.2_S2	S2	S2	H	Sub.2	320.935484	3.844337
Sub.2_S1	S1	S1	H	Sub.2	280.085714	3.724984
Sub.3_F1	F1	F	M	Sub.3	119	2.944342
Sub.3_F2	F2	F	M	Sub.3	123.363636	2.828428
Sub.3_F3	F3	F	M	Sub.3	131.5	2.978084
Sub.3_S2	S2	S2	H	Sub.3	316.857143	3.516565
Sub.3_S1	S1	S1	H	Sub.3	257	3.459783
Sub.4_F1	F1	F	M	Sub.4	154.75	2.750442
Sub.4_F2	F2	F	M	Sub.4	184.714286	2.666705
Sub.4_F3	F3	F	M	Sub.4	153.4	2.722745
Sub.4_S2	S2	S2	H	Sub.4	335.153846	3.857476
Sub.4_S1	S1	S1	H	Sub.4	253.058824	3.879637
Sub.5_F1	F1	F	M	Sub.5	193.5	3.326325
Sub.5_F2	F2	F	M	Sub.5	198.894737	3.262514
Sub.5_F3	F3	F	M	Sub.5	178.235294	3.149676
Sub.5_S2	S2	S2	H	Sub.5	289.37037	3.676765
Sub.5_S1	S1	S1	H	Sub.5	321.724138	3.589769
Sub.6_F1	F1	F	M	Sub.6	115	2.511699
Sub.6_F2	F2	F	M	Sub.6	139.157895	2.451088
Sub.6_F3	F3	F	M	Sub.6	196.625	2.35713
Sub.6_S2	S2	S2	H	Sub.6	259.647059	3.343229
Sub.6_S1	S1	S1	H	Sub.6	207	3.285519
Sub.7_F1	F1	F	M	Sub.7	119.428571	2.625843
Sub.7_F2	F2	F	M	Sub.7	129.875	2.587918
Sub.7_F3	F3	F	M	Sub.7	171.3	2.646814
Sub.7_S2	S2	S2	H	Sub.7	202.6875	3.163763
Sub.7_S1	S1	S1	H	Sub.7	277.75	3.075387
Sub.8_F1	F1	F	M	Sub.8	170	3.184637
Sub.8_F2	F2	F	M	Sub.8	156.583333	3.086258
Sub.8_F3	F3	F	M	Sub.8	171.666667	3.107793
Sub.8_S2	S2	S2	H	Sub.8	347.075	4.272315
Sub.8_S1	S1	S1	H	Sub.8	269.37037	3.913668
