	Sub.5_F1	Sub.5_F2	Sub.5_F3	Sub.5_S2	Sub.5_S1	Sub.6_F1	Sub.6_F2	Sub.6_F3	Sub.6_S2	Sub.6_S1	Sub.7_F1	Sub.7_F2	Sub.7_F3	Sub.7_S2	Sub.7_S1	Sub.8_F1	Sub.8_F2	Sub.8_F3	Sub.8_S2	Sub.8_S1	Sub.1_F1	Sub.1_F2	Sub.1_F3	Sub.1_S2	Sub.1_S1	Sub.2_F1	Sub.2_F2	Sub.2_F3	Sub.2_S2	Sub.2_S1	Sub.3_F1	Sub.3_F2	Sub.3_F3	Sub.3_S2	Sub.3_S1	Sub.4_F1	Sub.4_F2	Sub.4_F3	Sub.4_S2	Sub.4_S1
f__Actinomycetaceae	0	0	1	10	29	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	41	184	0	0	0	22	149	0	0	0	6	9	0	0	0	0	26
f__Aerococcaceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Alcaligenaceae	149	274	93	1	0	0	0	0	0	0	110	346	64	112	44	78	143	107	6	0	0	0	0	0	0	1048	241	848	12	81	811	684	631	9	40	2	0	0	0	0
f__Bacillaceae	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
f__Bacteroidaceae	8819	16968	9361	167	236	11771	9024	7747	1618	2693	9554	31299	2869	3623	1652	4919	12645	7760	38	76	59957	93042	57583	17869	80132	42974	22079	46926	314	1329	24308	17042	14252	411	4477	3767	12847	20387	1284	5963
f__Barnesiellaceae	105	97	67	21	32	49	38	21	9	71	0	0	0	0	0	59	142	113	2	1	0	0	0	0	0	0	0	0	0	0	52	106	30	27	326	0	0	0	0	0
f__Bifidobacteriaceae	2	1	3	846	1916	0	0	0	0	1	1	0	8	369	300	0	0	0	0	1	0	0	0	0	0	1	0	2	521	3528	3	0	4	10	39	0	0	0	1	2
f__Brevibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Cellulomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Christensenellaceae	2	8	3	53	106	4	3	1	17	34	4	2	5	47	23	9	7	8	25	136	6	4	4	60	219	31	9	45	257	928	11	10	5	177	1999	3	5	9	22	94
f__Clostridiaceae	0	0	0	519	753	0	0	0	1	5	0	0	0	3	12	1	2	2	368	2551	0	0	0	12	50	3	2	9	5160	31245	0	0	0	118	502	0	0	1	44	182
f__Coriobacteriaceae	104	128	111	1204	2858	32	16	25	58	207	4	3	21	630	510	33	37	26	48	206	145	169	109	450	1052	374	88	225	2755	10283	189	144	94	119	686	10	40	89	81	308
f__Corynebacteriaceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	5	0	0	0	1	1	0	0	0	0	0
f__Deferribacteraceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
f__Dehalobacteriaceae	0	0	0	2	5	0	0	0	0	2	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	18	15	0	0	0	4	11	0	0	0	0	1
f__Dermabacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Desulfovibrionaceae	114	213	109	16	32	1	0	1	0	1	103	272	23	27	17	2	5	3	0	1	1065	1082	874	342	2341	509	260	516	3	78	1	1	0	1	16	1	0	1	0	1
