	Sub.5_F1	Sub.5_F2	Sub.5_F3	Sub.5_S2	Sub.5_S1	Sub.6_F1	Sub.6_F2	Sub.6_F3	Sub.6_S2	Sub.6_S1	Sub.7_F1	Sub.7_F2	Sub.7_F3	Sub.7_S2	Sub.7_S1	Sub.8_F1	Sub.8_F2	Sub.8_F3	Sub.8_S2	Sub.8_S1	Sub.1_F1	Sub.1_F2	Sub.1_F3	Sub.1_S2	Sub.1_S1	Sub.2_F1	Sub.2_F2	Sub.2_F3	Sub.2_S2	Sub.2_S1	Sub.3_F1	Sub.3_F2	Sub.3_F3	Sub.3_S2	Sub.3_S1	Sub.4_F1	Sub.4_F2	Sub.4_F3	Sub.4_S2	Sub.4_S1
g__02d06	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__1-68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
g__Abiotrophia	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinomyces	0	0	1	10	29	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	41	184	0	0	0	22	149	0	0	0	6	9	0	0	0	0	26
g__Adlercreutzia	20	24	7	7	18	1	0	0	4	9	3	2	11	30	7	23	30	17	8	43	0	0	0	0	0	169	35	105	20	123	54	56	32	16	81	0	1	5	7	20
g__AF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Agrobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Akkermansia	3131	5242	1328	43	72	1438	537	1282	31	66	1590	4585	1260	1112	438	3261	5677	4034	8	37	4	2	5	0	0	6	6	8	0	1	7426	7095	4925	15	88	437	1195	2378	759	2218
g__Alistipes	136	153	110	45	60	60	85	38	102	111	13	42	10	528	208	74	112	106	10	24	0	0	0	1	0	598	293	710	99	337	65	91	76	93	777	17	57	71	118	342
g__Allobaculum	0	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	2	3	2	0
g__Alloscardovia	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0
g__Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	4	16
g__Anaerofustis	4	5	2	1	11	4	0	1	4	8	1	2	1	2	6	1	9	6	4	14	10	2	2	6	8	6	3	22	1	1	22	23	31	1	4	0	2	0	1	4
g__Anaerorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
g__Anaerostipes	52	73	46	29	93	0	0	0	0	4	0	0	0	37	38	47	39	19	14	105	44	103	35	68	146	279	85	300	289	783	0	1	0	82	299	4	17	36	4	15
g__Anaerotruncus	2	17	4	1	1	2	0	1	4	12	2	1	1	6	4	2	10	0	0	1	12	15	5	3	17	9	5	35	5	4	5	10	3	3	15	0	12	4	1	20
g__Anaerovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Arthrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Atopobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0
g__Bacillus	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
g__Bacteroides	8819	16968	9361	167	236	11771	9024	7747	1618	2693	9554	31299	2869	3623	1652	4919	12645	7760	38	76	59957	93042	57583	17869	80132	42974	22079	46926	314	1329	24308	17042	14252	411	4477	3767	12847	20387	1284	5963
g__Barnesiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bifidobacterium	2	1	3	846	1915	0	0	0	0	1	1	0	8	366	300	0	0	0	0	1	0	0	0	0	0	1	0	2	521	3527	3	0	4	6	26	0	0	0	0	1
g__Bilophila	85	110	67	0	2	1	0	1	0	0	103	272	23	27	16	2	1	1	0	0	1065	1082	874	342	2341	508	260	516	3	59	1	1	0	0	2	1	0	1	0	1
g__Blautia	4546	7623	7837	1162	3495	11283	10378	10818	5985	14140	10061	10126	11930	6135	5312	5156	12422	8375	419	2526	24476	34088	18753	25470	51165	50188	21735	61436	9319	47685	24779	21659	15366	2588	12456	1394	4365	11553	366	2367
g__Brachybacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bulleidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	34	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0
g__Butyricicoccus	174	249	185	15	28	106	85	64	60	129	4	8	3	5	0	21	20	32	2	2	1013	937	451	181	656	498	258	529	69	462	102	69	77	0	7	24	73	118	4	10
g__Butyricimonas	21	17	16	3	2	86	49	48	15	12	0	0	0	0	0	1	6	8	0	0	0	0	0	0	0	0	2	0	0	0	47	66	33	0	16	0	0	0	0	0
g__Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Campylobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	211	1250	0	0	0	0	0	0	0	0	0	0
g__cc_115	0	0	0	33	96	0	0	0	0	0	0	0	0	4	0	0	0	0	13	37	0	0	0	2	7	0	0	0	15	94	0	0	0	0	0	0	0	0	3	13
g__Christensenella	2	4	3	4	1	0	0	0	0	0	0	1	0	3	0	9	7	8	0	3	0	0	0	0	0	3	1	7	12	20	6	7	4	2	15	2	0	3	2	3
g__Cloacibacillus	0	0	0	9	197	3	5	1	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	6	155	350
