	Sub.5_F1	Sub.5_F2	Sub.5_F3	Sub.5_S2	Sub.5_S1	Sub.6_F1	Sub.6_F2	Sub.6_F3	Sub.6_S2	Sub.6_S1	Sub.7_F1	Sub.7_F2	Sub.7_F3	Sub.7_S2	Sub.7_S1	Sub.8_F1	Sub.8_F2	Sub.8_F3	Sub.8_S2	Sub.8_S1	Sub.1_F1	Sub.1_F2	Sub.1_F3	Sub.1_S2	Sub.1_S1	Sub.2_F1	Sub.2_F2	Sub.2_F3	Sub.2_S2	Sub.2_S1	Sub.3_F1	Sub.3_F2	Sub.3_F3	Sub.3_S2	Sub.3_S1	Sub.4_F1	Sub.4_F2	Sub.4_F3	Sub.4_S2	Sub.4_S1
o__Actinomycetales	0	0	1	11	30	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	49	217	0	0	0	22	164	0	0	0	7	13	0	0	0	4	32
o__Bacillales	16	28	24	0	0	0	0	0	14	1	0	1	13	1	0	9	11	10	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	2	0	0	1	0	0
o__Bacteroidales	10780	18893	10790	295	441	12522	9589	8205	2160	3633	10125	32506	3065	4519	2054	5597	14593	9150	98	188	60814	93738	57963	19885	90030	45863	23426	50167	632	2689	24845	17582	14675	691	6829	4035	13805	21655	1785	7816
o__Bifidobacteriales	2	1	3	846	1916	0	0	0	0	1	1	0	8	369	300	0	0	0	0	1	0	0	0	0	0	1	0	2	521	3528	3	0	4	10	39	0	0	0	1	2
o__Burkholderiales	149	274	93	2	0	0	0	0	0	0	110	346	64	112	44	78	143	107	6	0	0	0	0	0	0	1048	242	848	12	82	811	684	631	9	40	2	1	0	0	0
o__Campylobacterales	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Clostridiales	14675	18752	16623	9406	27391	14856	13541	13663	12355	29329	15931	20662	23120	28161	23742	13774	26301	18012	4330	24571	48259	78894	44576	56323	169705	101749	44479	110213	39894	222131	39692	29086	24261	19385	103834	5417	19634	40045	2292	11372
o__Coriobacteriales	104	128	111	1204	2858	32	16	25	58	207	4	3	21	630	510	33	37	26	48	206	145	169	109	450	1052	374	88	225	2755	10283	189	144	94	119	686	10	40	89	81	308
o__Deferribacterales	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
o__Desulfovibrionales	114	213	109	16	32	1	0	1	0	1	103	272	23	27	17	2	5	3	0	1	1065	1082	874	342	2341	509	260	516	3	78	3	5	3	2	18	3	10	19	4	9
o__Enterobacteriales	0	0	0	5	2	6	17	4	7	18	8	22	17	17239	13184	0	0	0	4	3	31	16	18	34	209	0	1	4	19	74	0	0	1	21	200	0	0	0	8	6
o__Erysipelotrichales	70	132	118	82	181	124	131	111	219	544	56	66	109	154	105	128	374	252	70	372	1895	1739	987	2783	6804	350	237	507	1292	5691	504	599	491	1018	4229	58	175	548	135	511
o__Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Gemellales	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	5	0	0	0	1	7	0	0	0	1	2	0	0	0	1	1
o__Lactobacillales	2	31	11	49	118	4	7	4	96	244	2	0	2	227	137	0	1	1	14	67	26	23	10	1848	4479	14	1	9	354	1780	2	5	4	899	3625	0	1	1	265	961
o__ML615J-28	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
