	Sub.5_F1	Sub.5_F2	Sub.5_F3	Sub.5_S2	Sub.5_S1	Sub.6_F1	Sub.6_F2	Sub.6_F3	Sub.6_S2	Sub.6_S1	Sub.7_F1	Sub.7_F2	Sub.7_F3	Sub.7_S2	Sub.7_S1	Sub.8_F1	Sub.8_F2	Sub.8_F3	Sub.8_S2	Sub.8_S1	Sub.1_F1	Sub.1_F2	Sub.1_F3	Sub.1_S2	Sub.1_S1	Sub.2_F1	Sub.2_F2	Sub.2_F3	Sub.2_S2	Sub.2_S1	Sub.3_F1	Sub.3_F2	Sub.3_F3	Sub.3_S2	Sub.3_S1	Sub.4_F1	Sub.4_F2	Sub.4_F3	Sub.4_S2	Sub.4_S1
p__Bacteroidetes	10780	18893	10790	295	441	12522	9589	8205	2160	3633	10125	32506	3065	4519	2054	5597	14593	9150	98	192	60814	93738	57963	19885	90030	45863	23426	50167	632	2689	24845	17582	14675	696	6857	4035	13805	21655	1785	7816
p__Firmicutes	14997	20175	17023	9604	27773	15005	13686	13787	12696	30133	15991	20730	23244	28546	23994	14232	27848	19085	4663	26211	50181	80656	45573	60964	181003	102122	44721	110736	42270	233840	41132	30542	25820	21356	112119	5479	19817	40604	2727	12955
p__Proteobacteria	264	487	202	23	34	7	17	6	7	20	222	640	104	17378	13245	80	148	110	10	4	1096	1098	892	376	2550	1745	616	1427	36	237	814	689	635	33	281	6	11	19	12	17
p__Verrucomicrobia	3131	5242	1328	43	72	1438	537	1282	31	66	1590	4585	1260	1112	438	3261	5677	4034	8	37	4	2	5	0	0	6	6	8	0	1	7426	7096	4927	15	88	437	1195	2378	759	2218
p__Actinobacteria	106	129	115	2061	4804	32	16	25	58	208	5	3	29	1002	813	33	37	26	48	207	145	169	109	499	1269	397	100	251	3359	14206	192	144	98	136	738	10	40	89	86	342
p__unclassified	2	2	1	36	83	3	3	5	23	40	6	4	10	30	21	2	7	2	60	329	1	1	3	4	27	16	7	18	126	663	10	1	5	69	525	0	2	15	11	19
p__Synergistetes	0	0	0	9	197	3	5	1	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	2	6	155	350
p__Tenericutes	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	10	54	0	0	0	0	0	0	0	0	8	27	0	0	0	0	0	0	0	0	0	0
p__Cyanobacteria	13	2	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	3
p__Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__TM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Deferribacteres	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
