"1","f__Bacteroidaceae","S12_both","Sub.1"
"2","f__Coriobacteriaceae","S12_both","Sub.1"
"3","f__Desulfovibrionaceae","S12_both","Sub.1"
"4","f__Erysipelotrichaceae","S12_both","Sub.1"
"5","f__Lachnospiraceae","S12_both","Sub.1"
"6","f__Porphyromonadaceae","S12_both","Sub.1"
"7","f__Ruminococcaceae","S12_both","Sub.1"
"8","f__Streptococcaceae","S12_both","Sub.1"
"9","f__unclassified","S12_both","Sub.1"
"10","f__Veillonellaceae","S12_both","Sub.1"
"11","f__Bacteroidaceae","S2M_both","Sub.1"
"12","f__Coriobacteriaceae","S2M_both","Sub.1"
"13","f__Desulfovibrionaceae","S2M_both","Sub.1"
"14","f__Erysipelotrichaceae","S2M_both","Sub.1"
"15","f__Lachnospiraceae","S2M_both","Sub.1"
"16","f__Porphyromonadaceae","S2M_both","Sub.1"
"17","f__Ruminococcaceae","S2M_both","Sub.1"
"18","f__unclassified","S2M_both","Sub.1"
"19","f__Streptococcaceae","S2M_S2only","Sub.1"
"20","f__Veillonellaceae","S2M_S2only","Sub.1"
"21","f__Bacteroidaceae","S12_both","Sub.2"
"22","f__Bifidobacteriaceae","S12_both","Sub.2"
"23","f__Christensenellaceae","S12_both","Sub.2"
"24","f__Clostridiaceae","S12_both","Sub.2"
"25","f__Coriobacteriaceae","S12_both","Sub.2"
"26","f__Erysipelotrichaceae","S12_both","Sub.2"
"27","f__Lachnospiraceae","S12_both","Sub.2"
"28","f__Mogibacteriaceae","S12_both","Sub.2"
"29","f__Porphyromonadaceae","S12_both","Sub.2"
"30","f__Rikenellaceae","S12_both","Sub.2"
"31","f__Ruminococcaceae","S12_both","Sub.2"
"32","f__Streptococcaceae","S12_both","Sub.2"
"33","f__Turicibacteraceae","S12_both","Sub.2"
"34","f__unclassified","S12_both","Sub.2"
"35","f__Alcaligenaceae","S2M_both","Sub.2"
"36","f__Bacteroidaceae","S2M_both","Sub.2"
"37","f__Bifidobacteriaceae","S2M_both","Sub.2"
"38","f__Christensenellaceae","S2M_both","Sub.2"
"39","f__Clostridiaceae","S2M_both","Sub.2"
"40","f__Coriobacteriaceae","S2M_both","Sub.2"
"41","f__Desulfovibrionaceae","S2M_both","Sub.2"
"42","f__Erysipelotrichaceae","S2M_both","Sub.2"
"43","f__Lachnospiraceae","S2M_both","Sub.2"
"44","f__Mogibacteriaceae","S2M_both","Sub.2"
"45","f__Paraprevotellaceae","S2M_both","Sub.2"
"46","f__Porphyromonadaceae","S2M_both","Sub.2"
"47","f__Prevotellaceae","S2M_both","Sub.2"
"48","f__Rikenellaceae","S2M_both","Sub.2"
"49","f__Ruminococcaceae","S2M_both","Sub.2"
"50","f__Turicibacteraceae","S2M_both","Sub.2"
"51","f__unclassified","S2M_both","Sub.2"
"52","f__Streptococcaceae","S2M_S2only","Sub.2"
"53","f__Bacteroidaceae","S12_both","Sub.3"
"54","f__Barnesiellaceae","S12_both","Sub.3"
"55","f__Christensenellaceae","S12_both","Sub.3"
"56","f__Clostridiaceae","S12_both","Sub.3"
"57","f__Coriobacteriaceae","S12_both","Sub.3"
"58","f__Enterobacteriaceae","S12_both","Sub.3"
"59","f__Erysipelotrichaceae","S12_both","Sub.3"
"60","f__Lachnospiraceae","S12_both","Sub.3"
"61","f__Lactobacillaceae","S12_both","Sub.3"
"62","f__Mogibacteriaceae","S12_both","Sub.3"
"63","f__Peptococcaceae","S12_both","Sub.3"
"64","f__Porphyromonadaceae","S12_both","Sub.3"
"65","f__Prevotellaceae","S12_both","Sub.3"
"66","f__Rikenellaceae","S12_both","Sub.3"
"67","f__Ruminococcaceae","S12_both","Sub.3"
"68","f__Streptococcaceae","S12_both","Sub.3"
"69","f__unclassified","S12_both","Sub.3"
"70","f__Veillonellaceae","S12_both","Sub.3"
"71","f__Alcaligenaceae","S2M_both","Sub.3"
"72","f__Bacteroidaceae","S2M_both","Sub.3"
"73","f__Barnesiellaceae","S2M_both","Sub.3"
"74","f__Christensenellaceae","S2M_both","Sub.3"
"75","f__Coriobacteriaceae","S2M_both","Sub.3"
"76","f__Erysipelotrichaceae","S2M_both","Sub.3"
"77","f__Eubacteriaceae","S2M_both","Sub.3"
"78","f__Lachnospiraceae","S2M_both","Sub.3"
"79","f__Lactobacillaceae","S2M_both","Sub.3"
"80","f__Mogibacteriaceae","S2M_both","Sub.3"
"81","f__Odoribacteraceae","S2M_both","Sub.3"
"82","f__Peptococcaceae","S2M_both","Sub.3"
"83","f__Porphyromonadaceae","S2M_both","Sub.3"
"84","f__Prevotellaceae","S2M_both","Sub.3"
"85","f__Rikenellaceae","S2M_both","Sub.3"
"86","f__Ruminococcaceae","S2M_both","Sub.3"
"87","f__Streptococcaceae","S2M_both","Sub.3"
"88","f__unclassified","S2M_both","Sub.3"
"89","f__Veillonellaceae","S2M_both","Sub.3"
"90","f__Verrucomicrobiaceae","S2M_both","Sub.3"
"91","f__Clostridiaceae","S2M_S2only","Sub.3"
"92","f__Bacteroidaceae","S12_both","Sub.4"
"93","f__Christensenellaceae","S12_both","Sub.4"
"94","f__Clostridiaceae","S12_both","Sub.4"
"95","f__Coriobacteriaceae","S12_both","Sub.4"
"96","f__Enterobacteriaceae","S12_both","Sub.4"
"97","f__Erysipelotrichaceae","S12_both","Sub.4"
"98","f__Eubacteriaceae","S12_both","Sub.4"
"99","f__Lachnospiraceae","S12_both","Sub.4"
"100","f__Mogibacteriaceae","S12_both","Sub.4"
"101","f__Odoribacteraceae","S12_both","Sub.4"
"102","f__Peptococcaceae","S12_both","Sub.4"
"103","f__Porphyromonadaceae","S12_both","Sub.4"
"104","f__Rikenellaceae","S12_both","Sub.4"
"105","f__Ruminococcaceae","S12_both","Sub.4"
"106","f__Streptococcaceae","S12_both","Sub.4"
"107","f__Synergistaceae","S12_both","Sub.4"
"108","f__unclassified","S12_both","Sub.4"
"109","f__Verrucomicrobiaceae","S12_both","Sub.4"
"110","f__Actinomycetaceae","S12_S1only","Sub.4"
"111","f__Bacteroidaceae","S2M_both","Sub.4"
"112","f__Christensenellaceae","S2M_both","Sub.4"
"113","f__Clostridiaceae","S2M_both","Sub.4"
"114","f__Coriobacteriaceae","S2M_both","Sub.4"
"115","f__Erysipelotrichaceae","S2M_both","Sub.4"
"116","f__Eubacteriaceae","S2M_both","Sub.4"
"117","f__Lachnospiraceae","S2M_both","Sub.4"
"118","f__Mogibacteriaceae","S2M_both","Sub.4"
"119","f__Odoribacteraceae","S2M_both","Sub.4"
"120","f__Peptococcaceae","S2M_both","Sub.4"
"121","f__Porphyromonadaceae","S2M_both","Sub.4"
"122","f__Rikenellaceae","S2M_both","Sub.4"
"123","f__Ruminococcaceae","S2M_both","Sub.4"
"124","f__Streptococcaceae","S2M_both","Sub.4"
"125","f__Synergistaceae","S2M_both","Sub.4"
"126","f__unclassified","S2M_both","Sub.4"
"127","f__Verrucomicrobiaceae","S2M_both","Sub.4"
"128","f__Enterobacteriaceae","S2M_S2only","Sub.4"
"129","f__Bacteroidaceae","S12_both","Sub.5"
"130","f__Barnesiellaceae","S12_both","Sub.5"
"131","f__Bifidobacteriaceae","S12_both","Sub.5"
"132","f__Christensenellaceae","S12_both","Sub.5"
"133","f__Clostridiaceae","S12_both","Sub.5"
"134","f__Coriobacteriaceae","S12_both","Sub.5"
"135","f__Desulfovibrionaceae","S12_both","Sub.5"
"136","f__Erysipelotrichaceae","S12_both","Sub.5"
"137","f__Lachnospiraceae","S12_both","Sub.5"
"138","f__Mogibacteriaceae","S12_both","Sub.5"
"139","f__Paraprevotellaceae","S12_both","Sub.5"
"140","f__Peptococcaceae","S12_both","Sub.5"
"141","f__Porphyromonadaceae","S12_both","Sub.5"
"142","f__Rikenellaceae","S12_both","Sub.5"
"143","f__Ruminococcaceae","S12_both","Sub.5"
"144","f__Streptococcaceae","S12_both","Sub.5"
"145","f__Synergistaceae","S12_both","Sub.5"
"146","f__Turicibacteraceae","S12_both","Sub.5"
"147","f__unclassified","S12_both","Sub.5"
"148","f__Veillonellaceae","S12_both","Sub.5"
"149","f__Verrucomicrobiaceae","S12_both","Sub.5"
"150","f__Tissierellaceae","S12_S1only","Sub.5"
"151","f__Alcaligenaceae","S2M_both","Sub.5"
"152","f__Bacteroidaceae","S2M_both","Sub.5"
"153","f__Barnesiellaceae","S2M_both","Sub.5"
"154","f__Bifidobacteriaceae","S2M_both","Sub.5"
"155","f__Christensenellaceae","S2M_both","Sub.5"
"156","f__Coriobacteriaceae","S2M_both","Sub.5"
"157","f__Desulfovibrionaceae","S2M_both","Sub.5"
"158","f__Erysipelotrichaceae","S2M_both","Sub.5"
"159","f__Lachnospiraceae","S2M_both","Sub.5"
"160","f__Mogibacteriaceae","S2M_both","Sub.5"
