"1","g__Bacteroides","S12_both","Sub.1"
"2","g__Bilophila","S12_both","Sub.1"
"3","g__Blautia","S12_both","Sub.1"
"4","g__Butyricicoccus","S12_both","Sub.1"
"5","g__Clostridium","S12_both","Sub.1"
"6","g__Coprobacillus","S12_both","Sub.1"
"7","g__Coprococcus","S12_both","Sub.1"
"8","g__Dialister","S12_both","Sub.1"
"9","g__Dorea","S12_both","Sub.1"
"10","g__Eggerthella","S12_both","Sub.1"
"11","g__Eubacterium","S12_both","Sub.1"
"12","g__Faecalibacterium","S12_both","Sub.1"
"13","g__Oscillospira","S12_both","Sub.1"
"14","g__Parabacteroides","S12_both","Sub.1"
"15","g__Roseburia","S12_both","Sub.1"
"16","g__Ruminococcus","S12_both","Sub.1"
"17","g__Streptococcus","S12_both","Sub.1"
"18","g__unclassified","S12_both","Sub.1"
"19","g__Bacteroides","S2M_both","Sub.1"
"20","g__Bilophila","S2M_both","Sub.1"
"21","g__Blautia","S2M_both","Sub.1"
"22","g__Butyricicoccus","S2M_both","Sub.1"
"23","g__Clostridium","S2M_both","Sub.1"
"24","g__Coprobacillus","S2M_both","Sub.1"
"25","g__Coprococcus","S2M_both","Sub.1"
"26","g__Dorea","S2M_both","Sub.1"
"27","g__Eggerthella","S2M_both","Sub.1"
"28","g__Eubacterium","S2M_both","Sub.1"
"29","g__Faecalibacterium","S2M_both","Sub.1"
"30","g__Oscillospira","S2M_both","Sub.1"
"31","g__Parabacteroides","S2M_both","Sub.1"
"32","g__Roseburia","S2M_both","Sub.1"
"33","g__Ruminococcus","S2M_both","Sub.1"
"34","g__unclassified","S2M_both","Sub.1"
"35","g__Dialister","S2M_S2only","Sub.1"
"36","g__Streptococcus","S2M_S2only","Sub.1"
"37","g__Alistipes","S12_both","Sub.2"
"38","g__Anaerostipes","S12_both","Sub.2"
"39","g__Bacteroides","S12_both","Sub.2"
"40","g__Bifidobacterium","S12_both","Sub.2"
"41","g__Blautia","S12_both","Sub.2"
"42","g__Butyricicoccus","S12_both","Sub.2"
"43","g__Catenibacterium","S12_both","Sub.2"
"44","g__Clostridium","S12_both","Sub.2"
"45","g__Collinsella","S12_both","Sub.2"
"46","g__Coprococcus","S12_both","Sub.2"
"47","g__Dorea","S12_both","Sub.2"
"48","g__Eubacterium","S12_both","Sub.2"
"49","g__Faecalibacterium","S12_both","Sub.2"
"50","g__Lachnospira","S12_both","Sub.2"
"51","g__Oscillospira","S12_both","Sub.2"
"52","g__Parabacteroides","S12_both","Sub.2"
"53","g__Roseburia","S12_both","Sub.2"
"54","g__Ruminococcus","S12_both","Sub.2"
"55","g__Slackia","S12_both","Sub.2"
"56","g__SMB53","S12_both","Sub.2"
"57","g__Streptococcus","S12_both","Sub.2"
"58","g__Subdoligranulum","S12_both","Sub.2"
"59","g__Turicibacter","S12_both","Sub.2"
"60","g__unclassified","S12_both","Sub.2"
"61","g__Adlercreutzia","S2M_both","Sub.2"
"62","g__Alistipes","S2M_both","Sub.2"
"63","g__Anaerostipes","S2M_both","Sub.2"
"64","g__Bacteroides","S2M_both","Sub.2"
"65","g__Bifidobacterium","S2M_both","Sub.2"
"66","g__Bilophila","S2M_both","Sub.2"
"67","g__Blautia","S2M_both","Sub.2"
"68","g__Butyricicoccus","S2M_both","Sub.2"
"69","g__Clostridium","S2M_both","Sub.2"
"70","g__Collinsella","S2M_both","Sub.2"
"71","g__Coprobacillus","S2M_both","Sub.2"
"72","g__Coprococcus","S2M_both","Sub.2"
"73","g__Dorea","S2M_both","Sub.2"
"74","g__Eubacterium","S2M_both","Sub.2"
"75","g__Faecalibacterium","S2M_both","Sub.2"
"76","g__Oscillospira","S2M_both","Sub.2"
