"1","o__Bacteroidales","S12_both","Sub.1"
"2","o__Clostridiales","S12_both","Sub.1"
"3","o__Coriobacteriales","S12_both","Sub.1"
"4","o__Desulfovibrionales","S12_both","Sub.1"
"5","o__Erysipelotrichales","S12_both","Sub.1"
"6","o__Lactobacillales","S12_both","Sub.1"
"7","o__Bacteroidales","S2M_both","Sub.1"
"8","o__Clostridiales","S2M_both","Sub.1"
"9","o__Coriobacteriales","S2M_both","Sub.1"
"10","o__Desulfovibrionales","S2M_both","Sub.1"
"11","o__Erysipelotrichales","S2M_both","Sub.1"
"12","o__Lactobacillales","S2M_both","Sub.1"
"13","o__Bacteroidales","S12_both","Sub.2"
"14","o__Bifidobacteriales","S12_both","Sub.2"
"15","o__Clostridiales","S12_both","Sub.2"
"16","o__Coriobacteriales","S12_both","Sub.2"
"17","o__Erysipelotrichales","S12_both","Sub.2"
"18","o__Lactobacillales","S12_both","Sub.2"
"19","o__Turicibacterales","S12_both","Sub.2"
"20","o__unclassified","S12_both","Sub.2"
"21","o__Bacteroidales","S2M_both","Sub.2"
"22","o__Bifidobacteriales","S2M_both","Sub.2"
"23","o__Burkholderiales","S2M_both","Sub.2"
"24","o__Clostridiales","S2M_both","Sub.2"
"25","o__Coriobacteriales","S2M_both","Sub.2"
"26","o__Desulfovibrionales","S2M_both","Sub.2"
"27","o__Erysipelotrichales","S2M_both","Sub.2"
"28","o__Lactobacillales","S2M_both","Sub.2"
"29","o__RF32","S2M_both","Sub.2"
"30","o__Turicibacterales","S2M_both","Sub.2"
"31","o__unclassified","S2M_both","Sub.2"
"32","o__Bacteroidales","S12_both","Sub.3"
"33","o__Clostridiales","S12_both","Sub.3"
"34","o__Coriobacteriales","S12_both","Sub.3"
"35","o__Enterobacteriales","S12_both","Sub.3"
"36","o__Erysipelotrichales","S12_both","Sub.3"
"37","o__Lactobacillales","S12_both","Sub.3"
"38","o__unclassified","S12_both","Sub.3"
"39","o__Bacteroidales","S2M_both","Sub.3"
"40","o__Burkholderiales","S2M_both","Sub.3"
"41","o__Clostridiales","S2M_both","Sub.3"
"42","o__Coriobacteriales","S2M_both","Sub.3"
"43","o__Erysipelotrichales","S2M_both","Sub.3"
"44","o__Lactobacillales","S2M_both","Sub.3"
"45","o__Verrucomicrobiales","S2M_both","Sub.3"
"46","o__unclassified","S2M_both","Sub.3"
"47","o__Actinomycetales","S12_both","Sub.4"
"48","o__Bacteroidales","S12_both","Sub.4"
"49","o__Clostridiales","S12_both","Sub.4"
"50","o__Coriobacteriales","S12_both","Sub.4"
"51","o__Enterobacteriales","S12_both","Sub.4"
"52","o__Erysipelotrichales","S12_both","Sub.4"
"53","o__Lactobacillales","S12_both","Sub.4"
"54","o__Synergistales","S12_both","Sub.4"
"55","o__Verrucomicrobiales","S12_both","Sub.4"
"56","o__unclassified","S12_both","Sub.4"
"57","o__Bacteroidales","S2M_both","Sub.4"
"58","o__Clostridiales","S2M_both","Sub.4"
"59","o__Coriobacteriales","S2M_both","Sub.4"
"60","o__Erysipelotrichales","S2M_both","Sub.4"
"61","o__Lactobacillales","S2M_both","Sub.4"
"62","o__Synergistales","S2M_both","Sub.4"
"63","o__Verrucomicrobiales","S2M_both","Sub.4"
"64","o__unclassified","S2M_both","Sub.4"
"65","o__Enterobacteriales","S2M_S2only","Sub.4"
"66","o__Bacteroidales","S12_both","Sub.5"
"67","o__Bifidobacteriales","S12_both","Sub.5"
"68","o__Clostridiales","S12_both","Sub.5"
"69","o__Coriobacteriales","S12_both","Sub.5"
"70","o__Desulfovibrionales","S12_both","Sub.5"
"71","o__Erysipelotrichales","S12_both","Sub.5"
"72","o__Lactobacillales","S12_both","Sub.5"
"73","o__Synergistales","S12_both","Sub.5"
